S.No.,S.No..1,Company Name ,Local Code,Market,Sector,wiki_code
,594,"Totetsu Kogyo Co.,Ltd.",1835,Prime Market,Construction,unknown
,595,Asanuma Corporation,1852,Prime Market,Construction,Q11560409
,596,Toda Corporation,1860,Prime Market,Construction,Q11496515
,597,"Kumagai Gumi Co.,Ltd.",1861,Prime Market,Construction,unknown
,598,"Yahagi Construction Co.,Ltd.",1870,Prime Market,Construction,unknown
,599,"P.S. Mitsubishi Construction Co., Ltd.",1871,Prime Market,Construction,Q11331705
,600,"Nihon House Holdings Co.,Ltd.",1873,Prime Market,Construction,unknown
,601,"Daito Trust Construction Co.,Ltd.",1878,Prime Market,Real Estate,unknown
,602,Shinnihon Corporation,1879,Prime Market,Construction,Q11502372
,603,Toa Road Corporation,1882,Prime Market,Construction,Q11523961
,604,"The Nippon Road Co.,Ltd.",1884,Prime Market,Construction,unknown
,605,Toa Corporation,1885,Prime Market,Construction,unknown
,607,"Wakachiku Construction Co.,Ltd.",1888,Prime Market,Construction,unknown
,608,"Toyo Construction Co.,Ltd.",1890,Prime Market,Construction,unknown
,609,"Penta-Ocean Construction Co.,Ltd.",1893,Prime Market,Construction,unknown
,610,"Seikitokyu Kogyo Co.,Ltd.",1898,Prime Market,Construction,unknown
,611,Fukuda Corporation,1899,Prime Market,Construction,Q11594237
,612,"Sumitomo Forestry Co.,Ltd.",1911,Prime Market,Construction,unknown
,613,"Daiwa House Industry Co.,Ltd.",1925,Prime Market,Construction,unknown
,614,"Raito Kogyo Co.,Ltd.",1926,Prime Market,Construction,unknown
,615,"Sekisui House,Ltd.",1928,Prime Market,Construction,unknown
,616,"Nittoc Construction Co.,Ltd.",1929,Prime Market,Construction,unknown
,617,"Hokuriku Electrical Construction Co.,Ltd.",1930,Prime Market,Construction,unknown
,618,Yurtec Corporation,1934,Prime Market,Construction,Q11345522
,619,"Nippon Rietec Co.,Ltd.",1938,Prime Market,Construction,unknown
,620,Yondenko Corporation,1939,Prime Market,Construction,unknown
,621,Chudenko Corporation,1941,Prime Market,Construction,unknown
,622,"Kandenko Co.,Ltd.",1942,Prime Market,Construction,unknown
,623,Kinden Corporation,1944,Prime Market,Construction,Q11265237
,624,Tokyo Energy & Systems Inc.,1945,Prime Market,Construction,unknown
,625,Toenec Corporation,1946,Prime Market,Construction,Q11322302
,626,"Sumitomo Densetsu Co.,Ltd.",1949,Prime Market,Construction,unknown
,627,"Nippon Densetsu Kogyo Co.,Ltd.",1950,Prime Market,Construction,unknown
,628,"Exeo Group,Inc",1951,Prime Market,Construction,unknown
,629,"Shin Nippon Air Technologies Co.,Ltd.",1952,Prime Market,Construction,unknown
,630,Kyudenko Corporation,1959,Prime Market,Construction,Q11370470
,631,"Sanki Engineering Co.,Ltd.",1961,Prime Market,Construction,unknown
,632,Jgc Holdings Corporation,1963,Prime Market,Construction,unknown
,633,"Chugai Ro Co.,Ltd.",1964,Prime Market,Construction,unknown
,634,"Taihei Dengyo Kaisha,Ltd.",1968,Prime Market,Construction,unknown
,635,"Takasago Thermal Engineering Co.,Ltd.",1969,Prime Market,Construction,unknown
,636,Nec Networks & System Integration Corporation,1973,Prime Market,Information & Communication,unknown
,637,"Asahi Kogyosha Co.,Ltd.",1975,Prime Market,Construction,unknown
,638,"Meisei Industrial Co.,Ltd.",1976,Prime Market,Construction,unknown
,639,Taikisha Ltd.,1979,Prime Market,Construction,unknown
,640,"Dai-Dan Co.,Ltd.",1980,Prime Market,Construction,unknown
,641,"Hibiya Engineering,Ltd.",1982,Prime Market,Construction,unknown
,642,Nippn Corporation,2001,Prime Market,Foods,unknown
,643,Nisshin Seifun Group Inc.,2002,Prime Market,Foods,unknown
,644,"Showa Sangyo Co.,Ltd.",2004,Prime Market,Foods,unknown
,645,"Chubu Shiryo Co.,Ltd.",2053,Prime Market,Foods,unknown
,647,"Nippon Beet Sugar Manufacturing Co.,Ltd.",2108,Prime Market,Foods,unknown
,648,"Mitsui Dm Sugar Holdings Co.,Ltd.",2109,Prime Market,Foods,unknown
,649,"Wellneo Sugar Co.,Ltd.",2117,Prime Market,Foods,unknown
,650,"Lifull Co.,Ltd.",2120,Prime Market,Services,unknown
,651,"Mixi,Inc",2121,Prime Market,Services,unknown
,652,"Jac Recruitment Co.,Ltd.",2124,Prime Market,Services,unknown
,653,Nihon M&A Center Holdings Inc,2127,Prime Market,Services,unknown
,655,"Ut Group Co.,Ltd.",2146,Prime Market,Services,unknown
,656,Itmedia Inc,2148,Prime Market,Services,unknown
,657,"Carenet,Inc",2150,Prime Market,Services,unknown
,658,E・J Holdings Inc,2153,Prime Market,Services,unknown
,659,Open Up Group Inc,2154,Prime Market,Services,unknown
,660,"Koshidaka Holdings Co.,Ltd.",2157,Prime Market,Services,unknown
,661,"Artner Co.,Ltd.",2163,Prime Market,Services,unknown
,662,Pasona Group Inc,2168,Prime Market,Services,unknown
,663,Link And Motivation Inc,2170,Prime Market,Services,unknown
,664,"Sms Co.,Ltd.",2175,Prime Market,Services,unknown
,665,"Persol Holdings Co.,Ltd.",2181,Prime Market,Services,unknown
,666,Ikk Holdings Inc,2198,Prime Market,Services,unknown
,667,"Morinaga & Co.,Ltd.",2201,Prime Market,Foods,unknown
,668,"Ezaki Glico Co.,Ltd.",2206,Prime Market,Foods,unknown
,669,"Meito Sangyo Co.,Ltd.",2207,Prime Market,Foods,unknown
,670,"Imuraya Group Co.,Ltd.",2209,Prime Market,Foods,unknown
,671,"Fujiya Co.,Ltd.",2211,Prime Market,Foods,unknown
,672,"Yamazaki Baking Co.,Ltd.",2212,Prime Market,Foods,unknown
,673,Morozoff Limited,2217,Prime Market,Foods,Q11344650
,674,"Kameda Seika Co.,Ltd.",2220,Prime Market,Foods,unknown
,675,"Kotobuki Spirits Co.,Ltd.",2222,Prime Market,Foods,unknown
,676,"Calbee,Inc",2229,Prime Market,Foods,unknown
,677,"Morinaga Milk Industry Co.,Ltd.",2264,Prime Market,Foods,unknown
,678,"Rokko Butter Co.,Ltd.",2266,Prime Market,Foods,unknown
,679,"Yakult Honsha Co.,Ltd.",2267,Prime Market,Foods,unknown
,680,"Meiji Holdings Co.,Ltd.",2269,Prime Market,Foods,unknown
,681,"Megmilk Snow Brand Co.,Ltd.",2270,Prime Market,Foods,unknown
,682,"Prima Meat Packers,Ltd.",2281,Prime Market,Foods,unknown
,683,Nh Foods Ltd.,2282,Prime Market,Foods,unknown
,684,"Marudai Food Co.,Ltd.",2288,Prime Market,Foods,unknown
,685,S Foods Inc,2292,Prime Market,Foods,unknown
,686,"Kakiyasu Honten Co.,Ltd.",2294,Prime Market,Foods,unknown
,688,"Gakujo Co.,Ltd.",2301,Prime Market,Services,unknown
,689,"Studio Alice Co.,Ltd.",2305,Prime Market,Services,Q11311820
,690,"Cross Cat Co.,Ltd.",2307,Prime Market,Information & Communication,unknown
,692,Systena Corporation,2317,Prime Market,Information & Communication,Q11307174
,693,"Njs Co.,Ltd.",2325,Prime Market,Services,unknown
,694,Digital Arts Inc,2326,Prime Market,Information & Communication,unknown
,695,Ns Solutions Corporation,2327,Prime Market,Information & Communication,unknown
,696,"Sohgo Security Services Co.,Ltd.",2331,Prime Market,Services,unknown
,697,Cube System Inc.,2335,Prime Market,Information & Communication,unknown
,698,Ichigo Inc,2337,Prime Market,Real Estate,unknown
,699,"Nippon Parking Development Co.,Ltd.",2353,Prime Market,Real Estate,unknown
,700,Core Corporation,2359,Prime Market,Information & Communication,unknown
,701,"Kakaku.Com,Inc",2371,Prime Market,Services,unknown
,702,"I'Rom Group Co.,Ltd.",2372,Prime Market,Services,unknown
,703,Saint-Care Holding Corporation,2374,Prime Market,Services,unknown
,704,"Renaissance,Incorporated",2378,Prime Market,Services,unknown
,705,Dip Corporation,2379,Prime Market,Services,unknown
,706,"Sbs Holdings,Inc",2384,Prime Market,Land Transportation,unknown
,707,"Digital Holdings,Inc.",2389,Prime Market,Services,unknown
,708,"Shin Nippon Biomedical Laboratories,Ltd.",2395,Prime Market,Services,unknown
,709,"Career Design Center Co.,Ltd.",2410,Prime Market,Services,unknown
,711,"M3,Inc",2413,Prime Market,Services,unknown
,713,"World Holdings Co.,Ltd.",2429,Prime Market,Services,unknown
,714,"Dena Co.,Ltd.",2432,Prime Market,Services,unknown
,715,Hakuhodo Dy Holdings Incorporated,2433,Prime Market,Services,unknown
,716,"Gurunavi,Inc",2440,Prime Market,Services,unknown
,717,"Takamiya Co.,Ltd.",2445,Prime Market,Services,unknown
,719,"Fan Communications,Inc",2461,Prime Market,Services,unknown
,720,"Like,Inc",2462,Prime Market,Services,unknown
,721,"S-Pool,Inc",2471,Prime Market,Services,unknown
,722,"Wdb Holdings Co.,Ltd.",2475,Prime Market,Services,unknown
,723,Adways Inc,2489,Prime Market,Services,unknown
,724,"Valuecommerce Co.,Ltd.",2491,Prime Market,Services,unknown
,725,Infomart Corporation,2492,Prime Market,Services,unknown
,726,Sapporo Holdings Limited,2501,Prime Market,Foods,Q11304809
,727,"Asahi Group Holdings,Ltd.",2502,Prime Market,Foods,unknown
,728,"Kirin Holdings Company,Limited",2503,Prime Market,Foods,unknown
,729,Takara Holdings Inc.,2531,Prime Market,Foods,unknown
,730,"Oenon Holdings,Inc",2533,Prime Market,Foods,unknown
,731,"Yomeishu Seizo Co.,Ltd.",2540,Prime Market,Foods,unknown
,732,Coca-Cola Bottlers Japan Holdings Inc,2579,Prime Market,Foods,unknown
,735,"Dydo Group Holdings,Inc.",2590,Prime Market,Foods,unknown
,736,"Ito En,Ltd.",2593,Prime Market,Foods,unknown
,737,"Ito En,Ltd.(Shares Of Preferred Stock)",25935,Prime Market,Foods,unknown
,738,Key Coffee Inc,2594,Prime Market,Foods,unknown
,739,"The Nisshin Oillio Group,Ltd.",2602,Prime Market,Foods,unknown
,740,Fuji Oil Holdings Inc.,2607,Prime Market,Foods,unknown
,741,"J-Oil Mills, Inc.",2613,Prime Market,Foods,unknown
,742,"Lawson,Inc",2651,Prime Market,Retail Trade,unknown
,743,"San-A Co.,Ltd.",2659,Prime Market,Retail Trade,unknown
,744,Cawachi Limited,2664,Prime Market,Retail Trade,unknown
,745,"Abc-Mart,Inc.",2670,Prime Market,Retail Trade,unknown
,746,"Hard Off Corporation Co.,Ltd.",2674,Prime Market,Retail Trade,unknown
,747,"Takachiho Koheki Co.,Ltd.",2676,Prime Market,Wholesale Trade,unknown
,748,Askul Corporation,2678,Prime Market,Retail Trade,Q11283438
,749,Geo Holdings Corporation,2681,Prime Market,Retail Trade,unknown
,750,"Adastria Co.,Ltd.",2685,Prime Market,Retail Trade,unknown
,751,"Itochu-Shokuhin Co.,Ltd.",2692,Prime Market,Wholesale Trade,unknown
,752,"Kura Sushi,Inc",2695,Prime Market,Retail Trade,unknown
,753,Elematec Corporation,2715,Prime Market,Wholesale Trade,Q11291239
,754,"Pal Group Holdings Co.,Ltd",2726,Prime Market,Retail Trade,unknown
,755,Edion Corporation,2730,Prime Market,Retail Trade,unknown
,756,Arata Corporation,2733,Prime Market,Wholesale Trade,unknown
,757,Sala Corporation,2734,Prime Market,Retail Trade,Q11306276
,758,Tomen Devices Corporation,2737,Prime Market,Wholesale Trade,unknown
,759,"Halows Co.,Ltd.",2742,Prime Market,Retail Trade,unknown
,760,"Jp-Holdings,Inc.",2749,Prime Market,Services,unknown
,761,Fujio Food Group Inc.,2752,Prime Market,Retail Trade,unknown
,762,"Amiyaki Tei Co.,Ltd.",2753,Prime Market,Retail Trade,unknown
,763,Tokyo Electron Device Limited,2760,Prime Market,Wholesale Trade,unknown
,764,Tsuburaya Fields Holdings Inc.,2767,Prime Market,Wholesale Trade,unknown
,765,Sojitz Corporation,2768,Prime Market,Wholesale Trade,Q586260
,766,Alfresa Holdings Corporation,2784,Prime Market,Wholesale Trade,unknown
,767,"Daikokutenbussan Co.,Ltd.",2791,Prime Market,Retail Trade,unknown
,768,"Honeys Holdings Co.,Ltd.",2792,Prime Market,Retail Trade,unknown
,769,Kikkoman Corporation,2801,Prime Market,Foods,unknown
,770,"Ajinomoto Co.,Inc",2802,Prime Market,Foods,unknown
,771,"Bull-Dog Sauce Co.,Ltd.",2804,Prime Market,Foods,unknown
,772,Kewpie Corporation,2809,Prime Market,Foods,Q11297548
,773,House Foods Group Inc,2810,Prime Market,Foods,unknown
,774,"Kagome Co.,Ltd.",2811,Prime Market,Foods,unknown
,775,"Ariake Japan Co.,Ltd.",2815,Prime Market,Foods,unknown
,776,Nichirei Corporation,2871,Prime Market,Foods,unknown
,777,"Yokorei Co.,Ltd.",2874,Prime Market,Wholesale Trade,unknown
,778,"Toyo Suisan Kaisha,Ltd.",2875,Prime Market,Foods,unknown
,779,"Eat&Holdings Co.,Ltd",2882,Prime Market,Foods,unknown
,781,"Nissin Foods Holdings Co.,Ltd.",2897,Prime Market,Foods,unknown
,782,"Nagatanien Holdings Co.,Ltd.",2899,Prime Market,Foods,unknown
,783,"Fujicco Co.,Ltd.",2908,Prime Market,Foods,unknown
,784,"Rock Field Co.,Ltd.",2910,Prime Market,Foods,unknown
,785,Japan Tobacco Inc.,2914,Prime Market,Foods,unknown
,786,"Kenko Mayonnaise Co.,Ltd.",2915,Prime Market,Foods,unknown
,787,"Warabeya Nichiyo Holdings Co.,Ltd.",2918,Prime Market,Foods,unknown
,788,"Natori Co.,Ltd.",2922,Prime Market,Foods,unknown
,789,"Pharma Foods International Co.,Ltd.",2929,Prime Market,Foods,unknown
,797,Gunze Limited,3002,Prime Market,Textiles and Apparels,Q11300938
,798,"Hulic Co.,Ltd.",3003,Prime Market,Real Estate,unknown
,799,"Alpen Co.,Ltd.",3028,Prime Market,Retail Trade,unknown
,800,"Raccoon Holdings,Inc",3031,Prime Market,Information & Communication,unknown
,801,"Qol Holdings Co.,Ltd.",3034,Prime Market,Retail Trade,unknown
,802,Alconix Corporation,3036,Prime Market,Wholesale Trade,Q17192133
,803,"Kobe Bussan Co.,Ltd.",3038,Prime Market,Wholesale Trade,unknown
,804,Soliton Systems K.K.,3040,Prime Market,Information & Communication,unknown
,805,Jins Holdings Inc,3046,Prime Market,Retail Trade,unknown
,806,Bic Camera Inc.,3048,Prime Market,Retail Trade,unknown
,807,"Dcm Holdings Co.,Ltd.",3050,Prime Market,Retail Trade,unknown
,808,"Monotaro Co.,Ltd.",3064,Prime Market,Retail Trade,unknown
,809,"Dd Group Co.,Ltd.",3073,Prime Market,Retail Trade,unknown
,810,Ai Holdings Corporation,3076,Prime Market,Wholesale Trade,unknown
,811,"J.Front Retailing Co.,Ltd.",3086,Prime Market,Retail Trade,unknown
,812,"Doutor・Nichires Holdings Co.,Ltd.",3087,Prime Market,Retail Trade,unknown
,813,Matsukiyococokara & Co.,3088,Prime Market,Retail Trade,unknown
,814,"Bronco Billy Co.,Ltd.",3091,Prime Market,Retail Trade,unknown
,815,"Zozo,Inc",3092,Prime Market,Retail Trade,unknown
,816,"Treasure Factory Co.,Ltd.",3093,Prime Market,Retail Trade,unknown
,817,The Monogatari Corporation,3097,Prime Market,Retail Trade,unknown
,818,Isetan Mitsukoshi Holdings Ltd.,3099,Prime Market,Retail Trade,unknown
,819,"Toyobo Co.,Ltd.",3101,Prime Market,Textiles and Apparels,unknown
,820,Unitika Ltd.,3103,Prime Market,Textiles and Apparels,unknown
,821,"Fujibo Holdings,Inc",3104,Prime Market,Textiles and Apparels,unknown
,822,Nisshinbo Holdings Inc,3105,Prime Market,Electric Appliances,unknown
,823,Kurabo Industries Ltd.,3106,Prime Market,Textiles and Apparels,unknown
,824,"Daiwabo Holdings Co.,Ltd.",3107,Prime Market,Wholesale Trade,unknown
,825,Shikibo Ltd.,3109,Prime Market,Textiles and Apparels,unknown
,826,"Nitto Boseki Co.,Ltd.",3110,Prime Market,Glass and Ceramics Products,unknown
,827,Toyota Boshoku Corporation,3116,Prime Market,Transportation Equipment,Q7830755
,831,"Welcia Holdings Co.,Ltd.",3141,Prime Market,Retail Trade,Q11288684
,832,"Create Sd Holdings Co.,Ltd.",3148,Prime Market,Retail Trade,unknown
,833,"Gremz,Inc",3150,Prime Market,Wholesale Trade,unknown
,834,"Vital Ksk Holdings,Inc.",3151,Prime Market,Wholesale Trade,unknown
,835,"Yashima Denki Co.,Ltd.",3153,Prime Market,Wholesale Trade,unknown
,836,"Medius Holdings Co.,Ltd.",3154,Prime Market,Wholesale Trade,unknown
,837,Restar Holdings Corporation,3156,Prime Market,Wholesale Trade,unknown
,838,Tokai Holdings Corporation,3167,Prime Market,Wholesale Trade,unknown
,839,"Sanyo Trading Co.,Ltd.",3176,Prime Market,Wholesale Trade,unknown
,843,"Win-Partners Co.,Ltd.",3183,Prime Market,Wholesale Trade,unknown
,851,"The Japan Wool Textile Co.,Ltd.",3201,Prime Market,Textiles and Apparels,unknown
,853,"Nomura Real Estate Holdings,Inc",3231,Prime Market,Real Estate,unknown
,856,"Dear Life Co.,Ltd.",3245,Prime Market,Real Estate,unknown
,858,"Japan Property Management Center Co.,Ltd.",3276,Prime Market,Real Estate,unknown
,862,"Iida Group Holdings Co.,Ltd.",3291,Prime Market,Real Estate,unknown
,863,"Teikoku Sen-I Co.,Ltd.",3302,Prime Market,Textiles and Apparels,unknown
,864,"Nippon Coke & Engineering Company,Limited",3315,Prime Market,Oil and Coal Products,unknown
,865,Golf Digest Online Inc,3319,Prime Market,Retail Trade,unknown
,866,Beenos Inc,3328,Prime Market,Retail Trade,unknown
,867,"Asahi Co.,Ltd.",3333,Prime Market,Retail Trade,unknown
,868,"Nihon Chouzai Co.,Ltd.",3341,Prime Market,Retail Trade,unknown
,869,Cosmos Pharmaceutical Corporation,3349,Prime Market,Retail Trade,unknown
,870,"Ship Healthcare Holdings,Inc.",3360,Prime Market,Wholesale Trade,unknown
,871,Softcreate Holdings Corp.,3371,Prime Market,Information & Communication,unknown
,872,"Seven & I Holdings Co.,Ltd.",3382,Prime Market,Retail Trade,unknown
,873,Create Restaurants Holdings Inc.,3387,Prime Market,Retail Trade,unknown
,874,"Meiji Electric Industries Co.,Ltd.",3388,Prime Market,Wholesale Trade,unknown
,875,Tsuruha Holdings Inc.,3391,Prime Market,Retail Trade,Q11318827
,876,"Startia Holdings,Inc",3393,Prime Market,Wholesale Trade,unknown
,877,"Saint Marc Holdings Co.,Ltd.",3395,Prime Market,Retail Trade,unknown
,878,Toridoll Holdings Corporation,3397,Prime Market,Retail Trade,unknown
,879,Teijin Limited,3401,Prime Market,Textiles and Apparels,unknown
,880,"Toray Industries,Inc.",3402,Prime Market,Textiles and Apparels,unknown
,881,"Kuraray Co.,Ltd.",3405,Prime Market,Chemicals,unknown
,882,Asahi Kasei Corporation,3407,Prime Market,Chemicals,Q720489
,884,"Miyaji Engineering Group,Inc.",3431,Prime Market,Metal Products,unknown
,885,"Tocalo Co.,Ltd.",3433,Prime Market,Metal Products,unknown
,886,Sumco Corporation,3436,Prime Market,Metal Products,unknown
,887,"Kawada Technologies,Inc.",3443,Prime Market,Metal Products,unknown
,899,"Suminoe Textile Co.,Ltd.",3501,Prime Market,Textiles and Apparels,unknown
,902,"Alleanza Holdings Co.,Ltd.",3546,Prime Market,Retail Trade,unknown
,904,"Kusuri No Aoki Holdings Co.,Ltd.",3549,Prime Market,Retail Trade,unknown
,907,"Seiren Co.,Ltd.",3569,Prime Market,Textiles and Apparels,unknown
,908,"Komatsu Matere Co.,Ltd.",3580,Prime Market,Textiles and Apparels,unknown
,909,Wacoal Holdings Corp.,3591,Prime Market,Textiles and Apparels,unknown
,910,"Hogy Medical Co.,Ltd.",3593,Prime Market,Textiles and Apparels,unknown
,911,"Tsi Holdings Co.,Ltd.",3608,Prime Market,Textiles and Apparels,unknown
,913,Tis Inc,3626,Prime Market,Information & Communication,unknown
,914,"Gree,Inc",3632,Prime Market,Information & Communication,unknown
,915,"Koei Tecmo Holdings Co.,Ltd.",3635,Prime Market,Information & Communication,unknown
,916,"Mitsubishi Research Institute,Inc",3636,Prime Market,Information & Communication,unknown
,917,Findex Inc,3649,Prime Market,Information & Communication,unknown
,918,Brainpad Inc,3655,Prime Market,Information & Communication,unknown
,919,Klab Inc,3656,Prime Market,Information & Communication,unknown
,920,"Pole To Win Holdings,Inc",3657,Prime Market,Information & Communication,unknown
,921,"Nexon Co.,Ltd.",3659,Prime Market,Information & Communication,unknown
,922,Istyle Inc,3660,Prime Market,Information & Communication,unknown
,923,"M-Up Holdings,Inc",3661,Prime Market,Information & Communication,unknown
,924,Ateam Inc,3662,Prime Market,Information & Communication,unknown
,925,Enigmo Inc,3665,Prime Market,Information & Communication,unknown
,928,Cross Marketing Group Inc,3675,Prime Market,Information & Communication,unknown
,929,"Digital Hearts Holdings Co.,Ltd.",3676,Prime Market,Information & Communication,unknown
,939,"Tokushu Tokai Paper Co.,Ltd.",3708,Prime Market,Pulp and Paper,unknown
,940,T-Gaia Corporation,3738,Prime Market,Information & Communication,Q11319027
,941,"Systems Engineering Consultants Co.,Ltd.",3741,Prime Market,Information & Communication,unknown
,942,Techmatrix Corporation,3762,Prime Market,Information & Communication,unknown
,943,Pro-Ship Incorporated,3763,Prime Market,Information & Communication,unknown
,944,"Gungho Online Entertainment,Inc",3765,Prime Market,Information & Communication,unknown
,945,"Gmo Payment Gateway,Inc",3769,Prime Market,Information & Communication,unknown
,946,"System Research Co.,Ltd.",3771,Prime Market,Information & Communication,unknown
,947,Internet Initiative Japan Inc,3774,Prime Market,Information & Communication,unknown
,948,Sakura Internet Inc,3778,Prime Market,Information & Communication,unknown
,949,Gmo Globalsign Holdings K.K.,3788,Prime Market,Information & Communication,unknown
,950,"Sra Holdings,Inc",3817,Prime Market,Information & Communication,unknown
,951,"Asahi Net,Inc",3834,Prime Market,Information & Communication,unknown
,952,"Ebase Co.,Ltd.",3835,Prime Market,Information & Communication,unknown
,953,Avant Group Corporation,3836,Prime Market,Information & Communication,unknown
,954,Ad-Sol Nissin Corporation,3837,Prime Market,Information & Communication,Q11284039
,955,"Freebit Co.,Ltd.",3843,Prime Market,Information & Communication,unknown
,956,Comture Corporation,3844,Prime Market,Information & Communication,unknown
,957,Asteria Corporation,3853,Prime Market,Information & Communication,Q11287745
,958,I'Ll Inc,3854,Prime Market,Information & Communication,unknown
,959,Oji Holdings Corporation,3861,Prime Market,Pulp and Paper,unknown
,961,Mitsubishi Paper Mills Limited,3864,Prime Market,Pulp and Paper,unknown
,962,Hokuetsu Corporation,3865,Prime Market,Pulp and Paper,Q11404108
,963,"Chuetsu Pulp & Paper Co.,Ltd.",3877,Prime Market,Pulp and Paper,unknown
,964,Daio Paper Corporation,3880,Prime Market,Pulp and Paper,Q8353441
,979,"Rengo Co.,Ltd.",3941,Prime Market,Pulp and Paper,unknown
,980,"Tomoku Co.,Ltd.",3946,Prime Market,Pulp and Paper,unknown
,981,The Pack Corporation,3950,Prime Market,Pulp and Paper,Q11306657
,986,"Macromill,Inc.",3978,Prime Market,Information & Communication,unknown
,991,Resonac Holdings Corporation,4004,Prime Market,Chemicals,Q905412
,992,"Sumitomo Chemical Company,Limited",4005,Prime Market,Chemicals,unknown
,993,"Sumitomo Seika Chemicals Company,Limited.",4008,Prime Market,Chemicals,unknown
,994,Nissan Chemical Corporation,4021,Prime Market,Chemicals,Q7040930
,995,"Rasa Industries,Ltd.",4022,Prime Market,Chemicals,unknown
,996,Kureha Corporation,4023,Prime Market,Chemicals,unknown
,997,"Taki Chemical Co.,Ltd.",4025,Prime Market,Chemicals,unknown
,998,Tayca Corporation,4027,Prime Market,Chemicals,Q11319089
,999,"Ishihara Sangyo Kaisha,Ltd.",4028,Prime Market,Chemicals,unknown
,1000,"Nippon Soda Co.,Ltd.",4041,Prime Market,Chemicals,unknown
,1001,Tosoh Corporation,4042,Prime Market,Chemicals,unknown
,1002,Tokuyama Corporation,4043,Prime Market,Chemicals,Q11321180
,1003,"Central Glass Co.,Ltd.",4044,Prime Market,Chemicals,unknown
,1004,"Toagosei Co.,Ltd.",4045,Prime Market,Chemicals,unknown
,1005,"Osaka Soda Co.,Ltd.",4046,Prime Market,Chemicals,unknown
,1006,"Kanto Denka Kogyo Co.,Ltd.",4047,Prime Market,Chemicals,unknown
,1008,Denka Company Limited,4061,Prime Market,Chemicals,unknown
,1009,"Ibiden Co.,Ltd.",4062,Prime Market,Electric Appliances,unknown
,1010,"Shin-Etsu Chemical Co.,Ltd.",4063,Prime Market,Chemicals,unknown
,1011,"Nippon Carbide Industries Company,Incorporated",4064,Prime Market,Chemicals,unknown
,1014,"Sakai Chemical Industry Co.,Ltd.",4078,Prime Market,Chemicals,unknown
,1015,"Daiichi Kigenso Kagaku-Kogyo Co.,Ltd",4082,Prime Market,Chemicals,unknown
,1016,Air Water Inc.,4088,Prime Market,Chemicals,unknown
,1017,Nippon Sanso Holdings Corporation,4091,Prime Market,Chemicals,Q11441729
,1018,"Nippon Chemical Industrial Co.,Ltd.",4092,Prime Market,Chemicals,unknown
,1019,"Toho Acetylene Co.,Ltd.",4093,Prime Market,Chemicals,unknown
,1020,"Nihon Parkerizing Co.,Ltd.",4095,Prime Market,Chemicals,unknown
,1021,"Koatsu Gas Kogyo Co.,Ltd.",4097,Prime Market,Chemicals,unknown
,1022,Shikoku Kasei Holdings Corporation,4099,Prime Market,Chemicals,unknown
,1023,Stella Chemifa Corporation,4109,Prime Market,Chemicals,unknown
,1024,"Hodogaya Chemical Co.,Ltd.",4112,Prime Market,Chemicals,unknown
,1025,"Nippon Shokubai Co.,Ltd.",4114,Prime Market,Chemicals,unknown
,1026,"Dainichiseika Color & Chemicals Mfg.Co.,Ltd.",4116,Prime Market,Chemicals,unknown
